what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1279712482562
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1279712482625
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1279712482687
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1279712482828
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1279712482828
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1279712483359
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1279712483500
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1279712483546
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1279712483546
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1279712483750
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712487609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712487609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712487703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712490906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712495484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712571093
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1279712571109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712577015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712610140
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712611875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712612796
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712612875
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1279712613093
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1279712613109
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1279712613109
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1279712613109
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1279712613109
